postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
SE23,NHS South East London ICB,3,692,598,86.4
TN20,NHS Sussex ICB,1,22,19,86.4
TR9,NHS Cornwall and the Isles of Scilly ICB,1,125,108,86.4
CR2,NHS South West London ICB,6,620,536,86.5
HU5,NHS Humber and North Yorkshire ICB,6,771,667,86.5
MK10,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,430,372,86.5
TR16,NHS Cornwall and the Isles of Scilly ICB,1,74,64,86.5
WD6,NHS Hertfordshire and West Essex ICB,3,436,377,86.5
BB11,NHS Lancashire and South Cumbria ICB,5,663,574,86.6
CH44,NHS Cheshire and Merseyside ICB,4,290,251,86.6
SE14,NHS South East London ICB,5,402,348,86.6
W5,NHS North West London ICB,6,433,375,86.6
B24,NHS Birmingham and Solihull ICB,3,761,660,86.7
CM11,NHS Mid and South Essex ICB,1,15,13,86.7
N5,NHS North Central London ICB,2,165,143,86.7
NN5,NHS Northamptonshire ICB,1,240,208,86.7
RM1,NHS North East London ICB,4,654,567,86.7
RM5,NHS North East London ICB,2,240,208,86.7
WF13,NHS West Yorkshire ICB,6,600,520,86.7
EN5,NHS North Central London ICB,3,365,317,86.8
N8,NHS North Central London ICB,7,710,616,86.8
NW7,NHS North Central London ICB,3,424,368,86.8
SM4,NHS South West London ICB,3,144,125,86.8
SS0,NHS Mid and South Essex ICB,5,393,341,86.8
TA14,NHS Somerset ICB,1,38,33,86.8
E4,NHS North East London ICB,8,776,674,86.9
NN4,NHS Northamptonshire ICB,3,464,403,86.9
PR1,NHS Lancashire and South Cumbria ICB,11,1133,985,86.9
S2,NHS South Yorkshire ICB,8,626,544,86.9
SW15,NHS South West London ICB,7,602,523,86.9
UB2,NHS North West London ICB,6,465,404,86.9
KT7,NHS Surrey Heartlands ICB,1,46,40,87.0
L12,NHS Cheshire and Merseyside ICB,3,215,187,87.0
RH9,NHS Surrey Heartlands ICB,1,54,47,87.0
ST20,NHS Staffordshire and Stoke-on-Trent ICB,1,46,40,87.0
GL55,NHS Gloucestershire ICB,1,31,27,87.1
IP24,NHS Norfolk and Waveney ICB,3,294,256,87.1
KT9,NHS South West London ICB,3,233,203,87.1
SM1,NHS South West London ICB,5,564,491,87.1
BB5,NHS Lancashire and South Cumbria ICB,10,686,598,87.2
CT19,NHS Kent and Medway ICB,2,188,164,87.2
L35,NHS Cheshire and Merseyside ICB,3,196,171,87.2
NN3,NHS Northamptonshire ICB,7,837,730,87.2
RM7,NHS North East London ICB,4,219,191,87.2
WA8,NHS Cheshire and Merseyside ICB,8,555,484,87.2
HD1,NHS West Yorkshire ICB,10,498,435,87.3
OL12,Multiple regions,5,561,490,87.3
B43,Multiple regions,4,270,236,87.4
B71,NHS Black Country ICB,2,103,90,87.4
BH3,NHS Dorset ICB,1,119,104,87.4
BS11,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,111,97,87.4
CR8,NHS South West London ICB,2,462,404,87.4
DE14,NHS Staffordshire and Stoke-on-Trent ICB,5,523,457,87.4
RM2,NHS North East London ICB,1,103,90,87.4
UB4,NHS North West London ICB,5,325,284,87.4
BS10,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,385,337,87.5
CM18,NHS Hertfordshire and West Essex ICB,3,527,461,87.5
M12,NHS Greater Manchester ICB,3,297,260,87.5
PE13,NHS Cambridgeshire and Peterborough ICB,4,473,414,87.5
TN19,NHS Sussex ICB,1,16,14,87.5
WC2A,NHS North Central London ICB,1,8,7,87.5
WD25,NHS Hertfordshire and West Essex ICB,2,264,231,87.5
DA4,NHS Kent and Medway ICB,1,105,92,87.6
DE23,NHS Derby and Derbyshire ICB,6,1197,1048,87.6
ME4,NHS Kent and Medway ICB,4,784,687,87.6
N2,NHS North Central London ICB,3,170,149,87.6
RM12,NHS North East London ICB,5,410,359,87.6
SS17,NHS Mid and South Essex ICB,5,242,212,87.6
WA16,NHS Cheshire and Merseyside ICB,1,202,177,87.6
WF12,NHS West Yorkshire ICB,5,275,241,87.6
WV10,Multiple regions,13,1163,1019,87.6
BR2,NHS South East London ICB,4,333,292,87.7
CH43,NHS Cheshire and Merseyside ICB,4,179,157,87.7
LU5,"NHS Bedfordshire, Luton and Milton Keynes ICB",5,738,647,87.7
NN2,NHS Northamptonshire ICB,6,677,594,87.7
RG24,NHS Hampshire and Isle of Wight ICB,2,430,377,87.7
SK3,NHS Greater Manchester ICB,2,332,291,87.7
SS16,NHS Mid and South Essex ICB,4,489,429,87.7
TR12,NHS Cornwall and the Isles of Scilly ICB,2,73,64,87.7
TR13,NHS Cornwall and the Isles of Scilly ICB,2,179,157,87.7
BA6,NHS Somerset ICB,2,123,108,87.8
BB10,NHS Lancashire and South Cumbria ICB,3,294,258,87.8
BB3,NHS Lancashire and South Cumbria ICB,4,344,302,87.8
DN1,NHS South Yorkshire ICB,7,968,850,87.8
NG24,NHS Nottingham and Nottinghamshire ICB,4,476,418,87.8
NN11,NHS Northamptonshire ICB,3,435,382,87.8
S5,NHS South Yorkshire ICB,8,608,534,87.8
TS13,Multiple regions,2,74,65,87.8
LS15,NHS West Yorkshire ICB,4,298,262,87.9
PE11,NHS Lincolnshire ICB,3,462,406,87.9
TA24,NHS Somerset ICB,2,99,87,87.9
WF17,NHS West Yorkshire ICB,8,725,637,87.9
AL2,NHS Hertfordshire and West Essex ICB,3,324,285,88.0
BN9,NHS Sussex ICB,2,192,169,88.0
